district,neighborhood,room,living room,area (m2),age,floor,price,neighbourhoodScore
 Tuzla , Aydinli,4,1,170,0,3,30000,B
 Uskudar , Burhaniye,3,1,145,27,2,30000,B
 Kagithane , Sultan Selim,2,1,80,16,1,20000,D
 Sariyer , Cumhuriyet,3,1,120,30,2,15000,D
 Gungoren , Abdurrahman Nafiz Gurman,3,0,95,12,0,45000,B
 Beyoglu , Cihangir,3,1,150,40,-1,45000,B
 Gungoren , Abdurrahman Nafiz Gurman,3,1,130,38,3,20000,B
 Zeytinburnu , Gokalp,2,1,75,25,3,26000,E
 Fatih , Sehremini,2,1,85,35,3,20000,C
 Beyoglu , Tomtom,2,1,95,45,4,55000,B+
 Sisli , Merkez,2,1,90,5,0,36000,D
 Fatih , Koca Mustafapasa,2,1,70,40,2,17600,E
 Kadikoy , Sahrayi Cedit,3,1,135,0,8,70000,A
 Beykoz , Kavacik,3,1,110,16,2,32000,B+
 Kagithane , Celiktepe,3,1,120,41,3,27000,C
 Beykoz , Kavacik,4,1,130,15,2,11500,B+
 Avcilar , Cihangir,3,1,110,30,2,14000,B
 Eyupsultan , Mithatpasa,5,1,550,15,0,350000,E
 Beykoz , Kavacik,2,1,100,5,1,9000,B+
 Bahcelievler , Sirinevler,2,1,110,10,2,6500,B
 Bayrampasa , Cevatpasa,2,1,100,25,1,14500,E
 Sariyer , Maslak,3,1,176,5,7,74990,B+
 Kagithane , Sultan Selim,3,1,120,25,-3,23000,D
 Sisli , Mecidiyekoy,3,1,135,20,4,35000,B+
 Kartal , Yukari,3,1,100,50,2,20000,B
 Sisli , 19 Mayis,1,1,55,38,1,44000,
 Sisli , Inonu,2,1,90,35,1,18000,E
 Kagithane , Mehmet Akif Ersoy,1,1,65,2,4,26000,E
 Kucukcekmece , Gultepe,1,1,80,2,0,20000,E
 Beylikduzu , Marmara,3,1,180,3,0,52000,C+
 Silivri , Mimar Sinan,2,1,95,11,4,15000,E
 Buyukcekmece , Fatih,5,2,358,10,3,45000,E
 Adalar , Nizam,2,1,100,30,1,300000,B+
 Zeytinburnu , Seyitnizam,2,1,80,5,3,19000,D
 Beylikduzu , Kavakli,2,1,90,3,5,14000,E
 Kagithane , Gultepe,1,1,55,29,0,7000,E
 Fatih , Ayvansaray,2,1,70,35,0,25000,E
 Esenyurt , Guzelyurt,1,1,85,9,7,12500,E
 Besiktas , Nisbetiye,4,1,346,0,16,285000,A+
 Beyoglu , Katip Mustafa Celebi,1,1,85,31,3,30000,C+
 Esenyurt , Necip Fazil Kisakurek,2,1,125,15,20,13000,D
 Sariyer , Huzur,1,1,101,6,8,55000,E
 Sariyer , Maslak,1,1,101,5,12,54000,B+
 Esenyurt , Inonu,2,1,90,5,1,13000,E
 Kartal , Karliktepe,3,1,120,25,5,20000,B
 Beylikduzu , Cumhuriyet,1,1,40,5,6,15000,D
 Sisli , 19 Mayis,2,1,180,31,0,32500,
 Sisli , Ergenekon,2,1,90,60,3,35000,B+
 Kadikoy , Merdivenkoy,3,1,155,0,2,65000,A
 Beyoglu , Haciahmet,2,1,85,40,2,13000,C
 Maltepe , Aydinevler,1,1,70,11,1,29500,B+
 Sariyer , Zekeriyakoy,4,1,220,0,0,115000,A
 Esenyurt , Piri Reis,2,1,140,4,1,13000,C
 Beykoz , Kavacik,3,1,125,21,2,45000,B+
 Maltepe , Kucukyali,4,1,160,20,3,37000,
 Bakirkoy , Basinkoy,4,1,280,17,2,80000,A
 Sariyer , Maslak,3,1,186,10,7,75000,B+
 Sariyer , Zekeriyakoy,1,1,70,5,4,40000,A
 Besiktas , Nisbetiye,3,1,110,35,1,60000,A+
 Besiktas , Mecidiye,2,1,76,26,2,27000,E
 Kagithane , Celiktepe,2,1,90,21,3,28000,C
 Kagithane , Nurtepe,2,1,100,16,2,35000,C+
 Bakirkoy , Senlikkoy,4,1,220,20,2,80000,A
 Basaksehir , Guvercintepe,2,1,85,4,0,12000,D
 Sariyer , Huzur,2,1,80,30,3,15000,E
 Sisli , Merkez,2,1,170,3,2,125000,D
 Besiktas , Gayrettepe,4,1,198,31,9,75000,A+
 Sariyer , Maslak,1,1,85,8,11,65000,B+
 Sisli , Kustepe,1,1,121,5,12,65000,E
 Sariyer , Maslak,2,1,100,0,2,41000,B+
 Silivri , Selimpasa,2,1,90,55,-3,15000,C
 Bakirkoy , Cevizlik,3,1,130,38,2,30000,B+
 Gaziosmanpasa , Karadeniz,1,1,123,6,5,35000,E
 Sisli , Fulya,2,1,95,14,5,37500,A
 Kagithane , Ortabayir,1,1,80,26,2,22000,C+
 Zeytinburnu , Yenidogan,2,1,75,26,3,26000,E
 Bagcilar , Gunesli,2,1,115,0,8,30000,C+
 Avcilar , Cihangir,3,1,100,12,1,19000,B
 Zeytinburnu , Merkezefendi,3,1,110,31,9,35000,D
 Kadikoy , Erenkoy,2,1,106,31,4,45000,A
 Kagithane , Ortabayir,3,1,140,20,4,18000,C+
 Sancaktepe , Abdurrahmangazi,3,1,85,0,1,20000,E
 Kagithane , Merkez,1,1,44,5,10,31000,D
 Sariyer , Emirgan,3,1,120,30,-1,80000,A
 Besiktas , Ortakoy,1,1,60,35,3,19950,C+
 Sariyer , Cumhuriyet,2,1,110,30,0,15500,D
 Kartal , Hurriyet,1,1,85,0,12,20000,E
 Gungoren , Mehmet Nesih Ozmen,3,1,100,26,4,25000,C+
 Sisli , Harbiye,2,1,220,16,21,240000,A
 Atasehir , Kayisdagi,2,1,80,16,0,14500,B
 Beykoz , Acarlar,8,3,600,5,0,850000,A+
 Beykoz , Yeni Mahalle,4,1,150,26,3,26000,D
 Avcilar , Denizkoskler,2,1,100,5,1,6500,B
 Besiktas , Etiler,3,1,116,40,4,50000,A+
 Bagcilar , Merkez,2,1,90,30,2,18000,D
 Kucukcekmece , Yesilova,2,1,120,25,3,24000,C
 Kagithane , Yahya Kemal,1,1,65,27,2,15000,E
 Cekmekoy , Alemdag,3,1,125,5,3,28000,B+
 Gungoren , Gencosman,4,1,180,5,3,35000,E
 Sisli , Inonu,1,1,65,60,4,33750,E
 Avcilar , Merkez,2,1,120,30,5,1500000,D
 Atasehir , Ferhatpasa,3,1,140,25,3,25000,C+
 Bakirkoy , Senlikkoy,2,1,120,13,2,85000,A
 Besiktas , Levent,2,1,250,5,12,180000,A+
 Sisli , Inonu,2,1,80,30,1,25000,E
 Kagithane , Gultepe,2,1,75,4,2,26000,E
 Beylikduzu , Baris,3,1,145,25,4,23000,B+
 Kadikoy , Osmanaga,1,0,30,18,1,12000,A
 Maltepe , Aydinevler,1,1,60,1,0,21500,B+
 Bakirkoy , Senlikkoy,4,1,240,19,2,115000,A
 Bagcilar , Gunesli,2,1,80,25,4,17000,C+
 Umraniye , Madenler,1,1,91,5,3,28000,B
 Sisli , Mecidiyekoy,2,1,70,8,2,25000,B+
 Beylikduzu , Sahil,2,1,85,0,1,29000,D
 Basaksehir , Kayabasi,1,1,70,0,6,18000,C+
 Kadikoy , Fikirtepe,3,1,200,2,4,57250,B+
 Umraniye , Armaganevler,3,1,110,21,2,22000,C+
 Beylikduzu , Sahil,3,1,160,0,2,40000,D
 Bahcelievler , Zafer,2,1,90,15,2,26000,C+
 Beylikduzu , Kavakli,3,1,160,7,2,25000,E
 Uskudar , Mehmet Akif Ersoy,3,1,240,4,4,250000,E
 Adalar , Nizam,3,1,130,60,4,250000,B+
 Beylikduzu , Kavakli,1,1,60,6,1,17500,E
 Sisli , Inonu,1,1,55,29,0,23000,E
 Basaksehir , Basak,2,1,75,30,2,20000,C
 Sariyer , Huzur,3,1,158,4,10,74000,E
 Kagithane , Hamidiye,3,1,180,2,7,120000,E
 Besiktas , Ortakoy,2,1,110,5,2,188000,C+
 Beyoglu , Omer Avni,2,1,110,50,2,40000,A
 Besiktas , Nisbetiye,3,1,221,0,20,210000,A+
 Beyoglu , Katip Mustafa Celebi,1,0,22,50,1,33000,C+
 Beykoz , Kavacik,2,1,110,30,1,35000,B+
 Fatih , Seyyid Omer,2,1,75,35,3,20000,D
 Besiktas , Levazim,3,1,130,31,1,55000,A+
 Sariyer , Rumeli Hisari,3,1,145,54,2,60000,A
 Esenyurt , Guzelyurt,2,1,95,5,2,15000,E
 Sariyer , Ayazaga,3,1,190,0,7,100000,C
 Bakirkoy , Cevizlik,1,1,70,31,1,18000,B+
 Eyupsultan , Emniyettepe,1,1,75,10,3,35000,D
 Maltepe , Altintepe,3,1,130,30,2,35000,A
 Sariyer , Maslak,2,1,138,10,8,80000,B+
 Maltepe , Cevizli,1,1,75,5,11,30500,C+
 Kagithane , Gursel,3,1,125,25,1,35000,B
 Beykoz , Cubuklu,3,1,130,16,2,30000,D
 Basaksehir , Altinsehir,2,1,85,4,1,14000,D
 Maltepe , Aydinevler,1,0,55,11,4,24250,B+
 Sariyer , Rumeli Hisari,4,1,280,50,4,440000,A
 Kagithane , Seyrantepe,1,0,35,8,2,24000,C+
 Sisli , Fulya,2,1,190,4,21,130000,A
 Avcilar , Cihangir,2,1,110,0,2,25000,B
 Avcilar , Gumuspala,2,1,75,5,0,25000,C
 Kagithane , Gultepe,1,1,65,23,0,15000,E
 Bayrampasa , Cevatpasa,2,1,80,3,5,24500,E
 Uskudar , Mimar Sinan,2,1,80,31,3,26000,E
 Avcilar , Mustafa Kemal Pasa,2,1,150,30,3,17000,E
 Kadikoy , 19 Mayis,3,1,160,30,7,35000,
 Kucukcekmece , Atakent,1,1,66,26,1,17000,C+
 Bagcilar , Kazim Karabekir,2,1,100,26,4,18500,E
 Sisli , Fulya,3,1,245,9,2,127000,A
 Sariyer , Ayazaga,2,1,75,5,3,32000,C
 Kagithane , Seyrantepe,1,1,65,7,3,25000,C+
 Bahcelievler , Yenibosna Merkez,3,1,152,5,6,50000,C+
 Eyupsultan , Sakarya,3,1,120,25,1,25000,E
 Sariyer , Buyukdere,3,2,185,25,2,55000,B+
 Silivri , Mimar Sinan,2,1,110,0,-3,18000,E
 Sisli , Mecidiyekoy,2,1,80,21,2,20500,B+
 Uskudar , Cengelkoy,3,1,120,21,0,45000,B
 Silivri , Kadikoy,1,1,75,15,5,12000,D
 Sisli , Cumhuriyet,1,1,80,10,2,40000,D
 Esenyurt , Necip Fazil Kisakurek,2,1,118,15,21,13000,D
 Besiktas , Etiler,3,1,130,25,5,70000,A+
 Kucukcekmece , Inonu,1,1,60,1,18,20000,E
 Beyoglu , Cukur,1,1,60,35,2,11000,E
 Sisli , Halide Edip Adivar,1,1,55,13,-3,18000,C
 Zeytinburnu , Merkezefendi,3,1,110,31,10,35000,D
 Beyoglu , Kilicali Pasa,2,1,95,45,2,45000,A+
 Sariyer , Maslak,2,1,145,8,2,65000,B+
 Eyupsultan , Gokturk Merkez,4,1,220,15,0,120000,B+
 Sisli , Kustepe,1,1,55,6,3,20000,E
 Bagcilar , Yildiztepe,3,2,160,4,3,25000,E
 Kagithane , Merkez,2,1,77,0,2,40000,D
 Gaziosmanpasa , Yildiztabya,1,1,80,5,2,22000,C+
 Pendik , Yenisehir,3,1,125,21,7,22500,E
 Fatih , Molla Gurani,3,1,145,30,2,45000,B
 Basaksehir , Kayabasi,2,1,90,5,1,27000,C+
 Bakirkoy , Atakoy 7-8-9-10. Kisim,1,1,57,5,10,32000,A+
 Sisli , Cumhuriyet,1,1,90,12,15,50000,D
 Umraniye , Armaganevler,2,1,85,5,1,26250,C+
 Umraniye , Armaganevler,3,1,150,11,3,37000,C+
 Beylikduzu , Adnan Kahveci,5,2,280,5,4,45000,B+
 Adalar , Maden,2,1,130,10,0,450000,C+
 Besiktas , Levent,3,1,260,5,15,150000,A+
 Esenler , Menderes,3,1,136,0,14,45000,E
 Avcilar , Gumuspala,2,1,90,12,5,15000,C
 Basaksehir , Basak,2,1,74,26,2,21000,C
 Sariyer , Zekeriyakoy,3,1,225,2,1,130000,A
 Sariyer , Maslak,3,1,170,10,6,85000,B+
 Gungoren , Abdurrahman Nafiz Gurman,2,1,110,30,2,250002,B
 Beyoglu , Cihangir,2,1,75,40,1,30000,B
 Fatih , Koca Mustafapasa,2,1,100,30,2,25000,E
 Sisli , Fulya,2,1,230,6,20,170000,A
 Buyukcekmece , Dizdariye,3,1,140,30,1,18000,C
 Bagcilar , Demirkapi,2,1,110,35,5,10000,D
 Beykoz , Anadolu Hisari,3,1,120,33,2,20000,A
 Avcilar , Cihangir,2,1,110,25,3,15000,B
 Sariyer , Tarabya,5,1,318,32,4,225000,A+
 Bakirkoy , Senlikkoy,3,1,130,25,2,50000,A
 Beylikduzu , Kavakli,4,2,250,5,5,35000,E
 Bayrampasa , Orta,2,1,140,32,4,22000,E
 Silivri , Piri Mehmet Pasa,2,1,85,28,0,15000,C+
 Beyoglu , Kilicali Pasa,1,1,90,20,5,80000,A+
 Gaziosmanpasa , Karadeniz,1,1,78,6,13,33500,E
 Avcilar , Cihangir,1,1,55,5,3,13000,B
 Beykoz , Ruzgarlibahce,1,1,40,0,1,25000,E
 Besiktas , Mecidiye,1,0,41,16,-1,17500,E
 Beykoz , Kavacik,3,1,120,16,2,35000,B+
 Cekmekoy , Mehmet Akif,3,1,135,18,5,35000,E
 Beykoz , Acarlar,3,1,200,11,0,120000,A+
 Kucukcekmece , Yesilova,2,0,70,8,5,20000,C
 Maltepe , Altintepe,2,1,65,0,0,40000,A
 Sariyer , Maslak,2,1,138,6,12,80000,B+
 Kagithane , Celiktepe,3,1,145,6,4,5550000,C
 Atasehir , Kayisdagi,1,1,45,11,1,27000,B
 Bagcilar , Goztepe,3,1,120,17,2,20000,E
 Esenler , Orucreis,3,1,130,25,5,15000,E
 Maltepe , Aydinevler,1,1,50,14,1,21250,B+
 Sisli , Fulya,6,1,590,5,21,550000,A
 Kagithane , Seyrantepe,2,1,85,25,5,22000,C+
 Bakirkoy , Kartaltepe,2,1,110,40,1,27000,D
 Avcilar , Universite,1,0,50,15,0,10000,B
 Pendik , Bahcelievler,2,1,100,40,4,12000,C+
 Eyupsultan , Emniyettepe,1,1,75,3,8,27000,D
 Bagcilar , Yenimahalle,2,1,110,16,4,26000,E
 Kucukcekmece , Atakent,1,1,57,28,1,24000,C+
 Kadikoy , Rasimpasa,1,0,30,3,4,21000,A+
 Esenyurt , Yesilkent,3,1,135,4,2,22000,E
 Kagithane , Emniyet Evleri,3,1,110,5,11,55000,B
 Fatih , Cerrahpasa,3,1,100,45,0,20000,C
 Uskudar , Cengelkoy,3,1,350,31,2,133000,B
 Sariyer , Ayazaga,2,1,90,16,6,32000,C
 Silivri , Mimar Sinan,2,1,100,0,2,18000,E
 Avcilar , Mustafa Kemal Pasa,1,1,80,13,0,13000,E
 Atasehir , Ornek,3,1,140,5,0,26500,C+
 Maltepe , Feyzullah,3,1,95,25,1,30000,A
 Sariyer , Bahcekoy Merkez,2,1,120,20,3,25000,B
 Beyoglu , Kuloglu,1,0,20,5,1,15000,A
 Besiktas , Etiler,3,1,140,35,2,105000,A+
 Esenyurt , Zafer,1,1,105,1,5,13000,C+
 Sariyer , Cumhuriyet,1,1,65,25,0,10000,D
 Fatih , Sumbul Efendi,2,1,70,40,4,20100,E
 Sile , Kumbaba,2,1,85,26,5,30000,A
 Kagithane , Celiktepe,2,1,65,10,1,18000,C
 Sariyer , Maslak,1,1,75,8,8,60000,B+
 Sisli , Fulya,2,1,240,5,21,160000,A
 Avcilar , Ambarli,2,1,90,7,1,15000,C+
 Cekmekoy , Sultanciftligi,2,1,88,7,4,28000,E
 Sisli , Cumhuriyet,3,1,150,30,0,40000,D
 Bagcilar , Inonu,3,2,160,4,3,30000,E
 Bayrampasa , Altintepsi,2,1,85,20,-1,18000,C
 Fatih , Silivrikapi,2,1,75,31,2,18000,D
 Umraniye , Cakmak,3,1,135,18,1,24000,E
 Sisli , Cumhuriyet,1,1,90,12,8,50000,D
 Silivri , Selimpasa,3,1,220,0,1,70000,C
 Beykoz , Camlibahce,3,1,130,25,3,26000,E
 Umraniye , Istiklal,2,1,90,11,3,24000,D
 Beylikduzu , Kavakli,4,1,250,5,3,45000,E
 Fatih , Ayvansaray,1,0,20,20,3,18000,E
 Sile , Balibey,2,1,100,16,4,30000,C+
 Adalar , Nizam,3,2,300,20,0,140000,B+
 Kagithane , Emniyet Evleri,2,1,250,5,8,165000,B
 Kagithane , Sultan Selim,3,1,110,28,3,16000,D
 Sariyer , Resitpasa,3,1,130,25,1,35000,B+
 Esenyurt , Suleymaniye,2,1,90,4,1,11500,D
 Fatih , Koca Mustafapasa,2,1,85,40,1,18000,E
 Fatih , Cerrahpasa,2,1,80,40,-1,20000,C
 Beykoz , Kanlica,3,1,100,35,2,35000,A
 Basaksehir , Kayabasi,3,1,198,12,2,36500,C+
 Sisli , 19 Mayis,1,1,100,16,21,105000,
 Beyoglu , Kuloglu,1,0,45,45,2,20000,A
 Kagithane , Hamidiye,3,1,120,17,0,22000,E
 Avcilar , Cihangir,1,1,1000,12,5,15000,B
 Gungoren , Merkez,1,1,75,26,1,15000,D
 Beyoglu , Katip Mustafa Celebi,1,0,55,32,5,23000,C+
 Besiktas , Levazim,4,1,349,0,20,300000,A+
 Kagithane , Gursel,2,1,65,5,2,26000,B
 Buyukcekmece , Mimaroba,3,1,143,28,4,26000,B
 Kagithane , Seyrantepe,3,1,160,5,5,75000,C+
 Atasehir , Kayisdagi,1,1,65,5,3,25000,B
 Beykoz , Ortacesme,1,1,80,25,0,13000,E
 Sariyer , Maslak,2,1,165,7,14,70000,B+
 Basaksehir , Kayabasi,1,1,72,11,1,20000,C+
 Sariyer , Huzur,1,0,45,3,2,40000,E
 Maltepe , Findikli,3,2,170,0,4,35500,C+
 Kagithane , Seyrantepe,2,1,85,30,0,14500,C+
 Avcilar , Denizkoskler,2,1,80,9,5,20000,B
 Bakirkoy , Senlikkoy,3,1,180,25,2,60000,A
 Beyoglu , Kuloglu,2,1,100,85,4,33000,A
 Maltepe , Kucukyali,3,1,120,30,2,37000,
 Sisli , Mecidiyekoy,1,1,75,8,4,28000,B+
 Sisli , Eskisehir,1,1,60,31,2,13000,C
 Beykoz , Kavacik,1,1,95,20,4,7500,B+
 Besiktas , Gayrettepe,1,1,80,21,0,17000,A+
 Esenler , Kemer,1,1,75,35,1,11000,E
 Bakirkoy , Senlikkoy,5,1,220,4,2,105000,A
 Besiktas , Akat,3,1,120,49,3,64500,A+
 Fatih , Yavuz Sultan Selim,1,1,40,43,-1,13500,D
 Beyoglu , Hacimimi,2,1,80,50,1,24500,C+
 Beykoz , Pasabahce,2,1,110,16,1,40000,C+
 Kartal , Kordonboyu,3,1,140,21,1,36000,A
 Kagithane , Caglayan,1,1,75,0,9,35000,C+
 Sariyer , Maslak,1,1,85,12,6,60000,B+
 Avcilar , Mustafa Kemal Pasa,2,1,95,8,2,20000,E
 Sariyer , Zekeriyakoy,1,1,60,20,5,42500,A
 Beyoglu , Yenisehir,1,1,80,30,1,20000,E
 Zeytinburnu , Cirpici,2,1,95,20,3,2500,E
 Bagcilar , Yildiztepe,2,1,110,24,5,16000,E
 Fatih , Sehremini,2,1,80,30,0,15000,C
 Eyupsultan , Emniyettepe,1,1,75,3,3,27000,D
 Sisli , Cumhuriyet,1,1,80,12,6,45000,D
 Bahcelievler , Bahcelievler,2,1,110,6,2,44000,C+
 Maltepe , Zumrutevler,3,1,130,25,2,24000,B
 Avcilar , Denizkoskler,2,1,90,0,1,23000,B
 Sisli , Cumhuriyet,1,1,90,12,15,50000,D
 Fatih , Silivrikapi,1,1,34,31,-1,7000,D
 Besiktas , Yildiz,3,1,180,30,3,155000,A
 Umraniye , Altinsehir,3,1,115,20,2,19000,D
 Sile , Balibey,3,1,130,26,0,32000,C+
 Adalar , Nizam,2,1,90,30,0,130000,B+
 Fatih , Seyyid Omer,1,1,60,31,1,14000,D
 Fatih , Ayvansaray,1,0,20,20,3,18000,E
 Bakirkoy , Senlikkoy,2,1,83,0,0,70000,A
 Besiktas , Etiler,4,1,270,23,2,340000,A+
 Besiktas , Dikilitas,1,0,35,5,3,25000,A
 Kagithane , Hamidiye,3,1,120,17,0,22000,E
 Kagithane , Emniyet Evleri,1,1,120,5,21,80000,B
 Beyoglu , Bereketzade,1,0,40,0,4,30000,A
 Eyupsultan , Islambey,2,1,100,5,5,25000,E
 Zeytinburnu , Merkezefendi,2,1,100,30,5,30000,D
 Kagithane , Seyrantepe,2,1,90,21,1,20000,C+
 Besiktas , Nisbetiye,3,1,242,0,20,240000,A+
 Sariyer , Huzur,3,1,165,4,5,75000,E
 Umraniye , Camlik,1,1,65,4,9,28000,E
 Avcilar , Mustafa Kemal Pasa,2,1,75,25,0,14000,E
 Sancaktepe , Emek,2,1,134,14,4,60000,D
 Sariyer , Maslak,2,1,114,8,6,70000,B+
 Besiktas , Ulus,4,1,350,21,0,400000,C+
 Sariyer , Tarabya,3,1,200,14,2,440000,A+
 Maltepe , Aydinevler,2,1,80,10,1,26500,B+
 Sisli , 19 Mayis,2,1,75,30,2,35000,
 Besiktas , Bebek,3,1,390,21,5,320000,A+
 Beykoz , Kavacik,3,1,220,11,0,8000,B+
 Bakirkoy , Senlikkoy,3,1,160,20,2,85000,A
 Kadikoy , Caferaga,3,1,170,31,1,69000,A+
 Sisli , Kustepe,2,1,85,4,1,27000,E
 Maltepe , Aydinevler,2,1,55,0,0,25000,B+
 Avcilar , Cihangir,3,1,130,10,2,25000,B
 Kagithane , Gursel,1,1,100,5,5,25000,B
 Beykoz , Ruzgarlibahce,2,1,120,11,2,26000,E
 Sisli , Ergenekon,2,1,80,30,4,25000,B+
 Beykoz , Acarlar,1,1,70,16,3,45000,A+
 Bakirkoy , Senlikkoy,7,1,450,18,3,150000,A
 Sisli , Bozkurt,2,1,95,40,0,30000,B+
 Beylikduzu , Kavakli,21,1,90,5,0,16500,E
 Umraniye , Huzur,2,1,85,4,1,19250,E
 Esenyurt , Mehtercesme,2,1,90,5,2,19000,C
 Fatih , Topkapi,1,1,65,38,5,17000,B
 Kucukcekmece , Istasyon,2,1,75,26,1,21000,B+
 Sariyer , Maslak,3,1,180,15,6,85000,B+
 Sisli , Mesrutiyet,2,1,110,45,2,55000,B+
 Kagithane , Merkez,1,1,58,5,8,34000,D
 Uskudar , Mimar Sinan,1,1,50,40,-1,10000,E
 Fatih , Balat,2,1,85,35,1,24000,D
 Sisli , Mecidiyekoy,1,1,55,20,1,21000,B+
 Adalar , Maden,2,1,100,30,0,35000,C+
 Tuzla , Orta,2,1,90,0,2,20000,E
 Besiktas , Yildiz,2,1,95,20,4,70000,A
 Sariyer , Maslak,3,1,175,3,7,89500,B+
 Basaksehir , Bahcesehir 2. Kisim,1,1,88,5,6,23000,B+
 Pendik , Dogu,2,1,100,18,5,24000,B+
 Maltepe , Altintepe,3,1,155,32,4,70000,A
 Bagcilar , 15 Temmuz,2,1,122,0,4,35000,
 Umraniye , Adem Yavuz,1,1,70,16,1,18000,D
 Bahcelievler , Soganli,2,1,90,35,4,25000,B
 Sisli , Cumhuriyet,2,1,185,12,21,120000,D
 Beylikduzu , Kavakli,3,1,160,1,2,35000,E
 Beykoz , Acarlar,4,1,255,11,0,165000,A+
 Kagithane , Telsizler,2,1,90,21,0,16500,C+
 Avcilar , Mustafa Kemal Pasa,2,1,100,14,3,14000,E
 Esenyurt , Yesilkent,1,1,68,5,21,13800,E
 Bahcelievler , Yenibosna Merkez,1,1,73,5,4,25000,C+
 Kagithane , Hamidiye,3,1,120,17,0,22000,E
 Fatih , Haseki Sultan,2,1,100,45,0,40000,C+
 Besiktas , Nisbetiye,3,1,221,0,19,210000,A+
 Beyoglu , Halicioglu,2,1,85,5,-1,25000,D
 Sariyer , Maslak,3,1,200,8,13,75000,B+
 Besiktas , Levent,3,1,250,5,21,180000,A+
 Kagithane , Celiktepe,2,1,75,5,-2,14000,C
 Sariyer , Ayazaga,4,1,200,0,8,95000,C
 Maltepe , Aydinevler,3,2,180,10,3,41000,B+
 Bakirkoy , Senlikkoy,4,1,260,20,2,140000,A
 Beykoz , Merkez,2,1,105,20,2,16000,D
 Beyoglu , Bereketzade,2,1,95,90,2,40000,A
 Avcilar , Denizkoskler,2,1,95,28,-3,16000,B
 Eyupsultan , Guzeltepe,3,1,150,4,3,40000,B
 Beykoz , Camlibahce,2,2,90,25,1,15000,E
 Maltepe , Girne,1,1,75,2,0,22000,B+
 Gaziosmanpasa , Yeni Mahalle,2,1,98,11,6,37000,D
 Beykoz , Ruzgarlibahce,2,1,110,20,2,26000,E
 Sariyer , Maslak,1,1,75,10,10,50000,B+
 Beykoz , Acarlar,6,2,450,11,0,250000,A+
 Besiktas , Yildiz,3,1,180,30,2,140000,A
 Eyupsultan , Emniyettepe,1,0,60,0,2,27000,D
 Umraniye , Finanskent,1,1,55,1,6,35000,
 Beylikduzu , Kavakli,3,1,120,5,2,25000,E
 Atasehir , Icerenkoy,1,1,60,12,4,18500,B+
 Besiktas , Levent,1,1,150,5,21,90000,A+
 Uskudar , Unalan,1,1,60,0,0,30000,C
 Buyukcekmece , Fatih,1,1,90,9,2,19000,E
 Basaksehir , Kayabasi,2,1,85,15,4,20000,C+
 Besiktas , Gayrettepe,1,1,104,11,11,71910,A+
 Esenler , Kemer,2,1,100,40,2,13500,E
 Buyukcekmece , Guzelce,2,1,117,28,2,15000,B+
 Fatih , Sehremini,2,1,90,34,2,15000,C
 Bakirkoy , Senlikkoy,4,1,260,22,3,110000,A
 Esenler , Tuna,2,1,75,1,2,23000,E
 Sariyer , Huzur,2,1,125,1,8,72500,E
 Sariyer , Maslak,3,1,180,11,16,85000,B+
 Cekmekoy , Mimar Sinan,2,1,90,21,2,23000,E
 Uskudar , Acibadem,3,1,132,0,0,85890,A+
 Bahcelievler , Bahcelievler,3,1,170,3,2,75000,C+
 Sisli , Cumhuriyet,1,1,90,12,14,47500,D
 Beykoz , Acarlar,7,2,1500,11,0,480000,A+
 Kagithane , Merkez,1,1,58,11,10,35500,D
 Sisli , Izzet Pasa,2,1,90,26,0,16000,C
 Fatih , Sumbul Efendi,2,1,75,45,0,12750,E
 Esenyurt , Koza,2,1,80,6,5,19500,B+
 Kagithane , Ortabayir,1,1,60,30,5,10000,C+
 Besiktas , Nisbetiye,3,1,240,0,20,192000,A+
 Sisli , Cumhuriyet,1,1,82,2,7,48750,D
 Beyoglu , Haciahmet,2,1,65,7,2,30000,C
 Adalar , Maden,1,1,80,35,0,35000,C+
 Kagithane , Emniyet Evleri,1,1,150,5,12,75000,B
 Adalar , Burgazada,2,1,120,30,0,30000,B+
 Sariyer , Ayazaga,1,0,55,4,2,37000,C
 Kagithane , Telsizler,1,1,70,21,3,22000,C+
 Avcilar , Cihangir,2,1,75,13,0,13000,B
 Esenyurt , Mehmet Akif Ersoy,2,1,115,4,8,28000,E
 Esenler , Turgut Reis,3,1,120,30,1,17000,E
 Sariyer , Maslak,2,1,110,11,17,75000,B+
 Umraniye , Serifali,1,1,90,10,13,35000,B
 Bagcilar , Yenimahalle,1,1,85,24,-1,10000,E
 Maltepe , Altintepe,1,1,55,0,0,31000,A
 Bahcelievler , Cobancesme,3,1,120,0,2,30000,D
 Eyupsultan , Alibeykoy,4,1,140,5,2,39000,B
 Besiktas , Ulus,2,1,200,18,1,245000,C+
 Sariyer , Maslak,1,1,80,6,7,46999,B+
 Besiktas , Levent,3,1,280,5,21,155000,A+
 Avcilar , Merkez,2,1,100,25,1,20000,D
 Zeytinburnu , Sumer,1,1,70,27,5,12000,C
 Fatih , Ayvansaray,1,0,30,31,3,18000,E
 Kagithane , Harmantepe,2,1,90,3,4,30000,E
 Bagcilar , Cinar,3,1,125,21,5,17000,D
 Sariyer , Huzur,3,1,148,2,4,90000,E
 Kagithane , Celiktepe,2,1,87,4,14,35000,C
 Sariyer , Maslak,2,0,120,9,10,80000,B+
 Besiktas , Muradiye,1,1,40,31,1,25000,A
